Cell,Gene,Degree,Cluster,Identifier
NK,RPL23,6,0.733333333,9606.ENSP00000420311
NK,RPS18,8,0.571428571,9606.ENSP00000393241
NK,RPS27,7,0.666666667,9606.ENSP00000499044
NK,RPS9,8,0.571428571,9606.ENSP00000375632
CD16 Mono,RPL14,6,0.6,9606.ENSP00000379506
CD16 Mono,RPL38,6,0.533333333,9606.ENSP00000309830
CD4 Naive,MRPS10,6,0.533333333,9606.ENSP00000053468
CD8 TEM,EEF2,6,0.666666667,9606.ENSP00000307940
CD8 TEM,MRPL10,8,1,9606.ENSP00000290208
CD8 TEM,MRPL12,11,0.6,9606.ENSP00000333837
CD8 TEM,MRPL2,10,0.733333333,9606.ENSP00000373404
CD8 TEM,MRPL34,8,1,9606.ENSP00000252602
CD8 TEM,MRPL4,10,0.733333333,9606.ENSP00000306902
CD8 TEM,MRPL40,9,0.861111111,9606.ENSP00000333401
CD8 TEM,MRPL48,9,0.861111111,9606.ENSP00000308717
CD8 TEM,MRPL55,8,1,9606.ENSP00000403614
CD8 TEM,MRPS10,13,0.525641026,9606.ENSP00000053468
CD8 TEM,RPL26,8,0.535714286,9606.ENSP00000463784
CD4 TCM,ACTR5,6,0.666666667,9606.ENSP00000243903
CD4 TCM,EEFSEC,6,1,9606.ENSP00000254730
CD4 TCM,FBXW11,6,0.533333333,9606.ENSP00000265094
CD4 TCM,GTF2B,7,0.714285714,9606.ENSP00000359531
CD4 TCM,IMP3,9,0.694444444,9606.ENSP00000326981
CD4 TCM,MALSU1,6,0.933333333,9606.ENSP00000419370
CD4 TCM,MED21,7,0.714285714,9606.ENSP00000282892
CD4 TCM,MED9,7,0.714285714,9606.ENSP00000268711
CD4 TCM,MRPL1,12,0.757575758,9606.ENSP00000315017
CD4 TCM,MRPL16,13,0.743589744,9606.ENSP00000300151
CD4 TCM,MRPL39,8,0.892857143,9606.ENSP00000305682
CD4 TCM,MRPL41,12,0.787878788,9606.ENSP00000360498
CD4 TCM,MRPS14,15,0.638095238,9606.ENSP00000420714
CD4 TCM,MRPS18C,12,0.727272727,9606.ENSP00000295491
CD4 TCM,MRPS21,9,0.805555556,9606.ENSP00000461930
CD4 TCM,MRPS35,12,0.742424242,9606.ENSP00000081029
CD4 TCM,PSMA4,6,0.6,9606.ENSP00000044462
CD4 TCM,PSMB7,6,0.6,9606.ENSP00000259457
CD4 TCM,PSMB8,6,0.533333333,9606.ENSP00000364016
CD4 TCM,RPL10A,11,0.745454545,9606.ENSP00000363018
CD4 TCM,RPL18A,14,0.538461538,9606.ENSP00000222247
CD4 TCM,RPL26,13,0.705128205,9606.ENSP00000463784
CD4 TCM,RPL7L1,10,0.866666667,9606.ENSP00000418221
CD4 TCM,RPS27L,9,0.833333333,9606.ENSP00000331019
CD4 TCM,SRP54,9,0.666666667,9606.ENSP00000451818
